	item_id	book_instance	reports_policy_legislation_and_technical_documentation_instance	databases_instance	academic_scientific	news_media_sources	wiki	category	Item label	Item ID	Weighted ORES Score
9987	Q4101367	0	0	1	0	0	0	human	Sture Björk	Q4101367	2.92
9988	Q4101397	0	0	3	0	0	0	human	Ted Backman	Q4101397	2.06
9989	Q4101406	0	0	8	0	0	0	human	Ion Balanel	Q4101406	3.78
9990	Q4101452	0	0	0	0	0	0	feeling	Performance-based budgeting	Q4101452	1.72
9991	Q4101554	12	0	11	0	0	0	human	Boris Aronovič Bâlik	Q4101554	2.97
9992	Q4101579	5	0	8	0	0	0	human	Albinas Bernotas	Q4101579	3.61
9993	Q4101609	0	0	2	0	0	0	human		Q4101609	1.55
9994	Q4101611	8	0	2	0	0	1	human	Emile Vivian Burns	Q4101611	2.29
9995	Q4101628	16	0	13	0	0	0	human	Ernest-Philippe Boetzel	Q4101628	3.9
9996	Q4102115	0	0	8	0	0	0	human	Pavel Vavilov	Q4102115	1.33
9997	Q4102191	2	0	10	0	0	0	human	Räşit Wahapof	Q4102191	2.99
9998	Q4102215	3	0	9	0	0	4	human	Bertil Vagner	Q4102215	3.0
9999	Q4102265	0	0	3	0	0	2	human		Q4102265	1.71
10000	Q4102270	1	0	6	0	0	0	human	Jānis Vagris	Q4102270	2.98
10001	Q4102273	0	0	7	0	0	0	human		Q4102273	1.24
10002	Q4102308	0	0	6	0	0	0	human		Q4102308	2.13
10003	Q4102396	0	0	11	0	0	0	human	Gimazetdin Vasetdinov	Q4102396	1.32
10004	Q4102414	0	0	1	0	0	1	human	Primato Painter	Q4102414	3.04
10005	Q4102416	0	0	1	0	0	1	human	Choephoroi Painter	Q4102416	3.32
10006	Q4102448	0	0	6	0	0	0	human	Gabor Vajda	Q4102448	3.65
10007	Q4102488	0	0	3	0	0	0	human		Q4102488	2.06
10008	Q4102516	0	0	7	0	0	0	human	Lev Vaynshteyn	Q4102516	3.05
10009	Q4102524	7	0	9	0	0	0	human	Sevyan Vaynshteyn	Q4102524	3.04
10010	Q4102527	2	0	6	0	0	0	human	Samuil Vainshtein	Q4102527	3.0
10011	Q4102533	7	0	7	0	0	0	human	Edith Weiss-Mann	Q4102533	3.15
10012	Q4102534	0	0	6	0	0	0	human		Q4102534	1.16
10013	Q4102548	2	0	5	0	0	0	human	Elliot Weisgarber	Q4102548	2.97
10014	Q4102553	3	0	2	0	0	2	human	Roxane Vaisemberg	Q4102553	3.76
10015	Q4102570	0	0	5	0	0	0	human	Leonid Vaysfeld	Q4102570	2.94
10016	Q4102590	16	0	9	0	0	1	human	Edder Vaca	Q4102590	3.37
